"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5696259007967","11.9151389016096","12.2569935314407","12.6034691204175","12.9661064999649","13.374962995881","13.8637670284558","14.324713926489","14.7241218031951","15.1727442987004","15.5510054788234","16.0271653825138","16.4339992302038","16.7890434673854","17.1969857948132","17.5971757021967","18.0342493911412","18.3458780723546","18.6953056959887","19.1499422830714","19.5018373155115","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20000000000001","7.2","8.2","9.5","10.9","12.2","13.85","15.3","16.7","18.4","20","21.8","23","24.8","26.1","27.4","28.6","29.7","30.9","31.9","33.2","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1010805027603","5.23162963390073","5.31923887779374","5.51247807663504","5.6556050746537","5.83855268358754","6.06962250464596","6.32129205846322","6.55694290992294","6.83921371912481","7.18930170541397","7.51714181927171","7.93230025459875","8.44262481799898","9.0005259815343","9.72705541303732","10.6072497674154","11.5910389506575","12.6617519878291","13.8350652456514","14.9038389016224","",
"Angola","AGO","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","41.7","41.7","42","41.9","42.6","42.9","43.5","43.6","43.8","44.3","44.8","45.2","45.8","46.5","47.2","47.8","48.4","49.1","49.5","50.2","",
"Albania","ALB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2","40.5","43.2","46.4","49","51.9","54.8","58.1","60.8","63.6","66.5","68.9","71.3","73.15","74.6","76.2","77.8","78.7","79.8","80.7","81.3","",
"Andorra","AND","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.6301033889967","76.9919760498721","78.236092612146","79.4639241640959","80.4605310075578","81.4417526791732","82.3819548088929","83.1955663141051","83.854048655993","84.5116574296104","85.0261097940153","85.5732092917262","86.0470205648064","86.3106871140563","86.5573353855507","86.7481919587914","86.9282173889083","87.07390083066","87.1274602425732","87.2816626265088","87.2916051731511","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95.6","96.1","96.45","97.2","97.5","98.1","98.3","98.6","98.9","99.1","99.3","99.5","99.6","99.7","99.7","99.8","99.8","99.8","99.9","99.9","",
"Armenia","ARM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","82.2","84.9","87.7","89.9","91.6","92.9","94.2","95","95.7","96.4","96.8","97.2","97.5","97.6","97.8","97.9","98","98","98","98.1","",
"American Samoa","ASM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3","73.6","76.8","80.3","82.9","85.2","87.4","89.4","90.7","92.1","93.1","94","94.7","95.2","95.5","95.9","96.2","96.4","96.6","96.7","96.8","",
"Burundi","BDI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","",
"Belgium","BEL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.800000000000001","1","1.3","1.69999999999999","2.09999999999999","2.5","2.9","3.4","3.7","4","4.1","4.3","4.3","4.3","4.3","4.3","4.2","4.2","4","4","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.9","3.1","3.4","3.7","3.9","4.4","4.6","5.1","5.4","5.80000000000001","6.29999999999999","6.69999999999999","7.1","7.6","8.1","8.7","9","9.5","10.1","10.6","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","8.3","8.4","8.6","8.9","9.2","9.8","10.3","11","11.8","12.7","13.7","14.7","15.8","17.1","18.3","19.3","20.6","21.9","23.4","25","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.96","68.7","72.09","75.09","77.62","79.75","81.48","83","84.2","85.22","86.04","86.7","87.27","87.71","88.11","88.42","88.65","","","","","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1","51.45","50.9","50.8","49.3","48.9","47.9","47.1","46.7","45.8","45","44.7","44.2","44.2","44.05","43.9","45.2","43.6","44.7","45","45.2","",
"Belarus","BLR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.7","95.2","95.8","96.4","96.9","97.1","97.5","97.9","98.15","98.5","98.7","98.8","99","99.1","99.2","99.3","99.4","99.4","99.5","99.5","99.6","",
"Belize","BLZ","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9","80.6","81.5","81.9","82.6","82.9","83.2","83.3","83.5","83.4","83.6","83.4","83.3","83.3","83","82.9","82.8","82.6","82.4","82.1","82.1","",
"Bermuda","BMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9","63.9","65","65.9","67.3","68.4","69.8","71.5","73.1","74.7","76.2","77.8","79.3","80.4","81.7","82.7","83.5","84.2","85","85.7","86.1","",
"Brazil","BRA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89.7","90.1","90.6","91.1","91.6","92.1","92.6","93.1","93.6","94","94.3","94.7","95","95.2","95.4","95.7","95.7","95.8","95.8","95.9","",
"Barbados","BRB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
